,RedPajama,Dolma,Pile,C4
Sennheiser,0.655832514026482,1.688498797558177,-1.6254334649631357,-0.7188978466215303
Shark,0.942428471112704,1.4243423728136282,-1.3833997201076365,-0.9833711238186886
Shokz,0.3617455851483875,1.8789836131374322,-1.7320197568102396,-0.5087094414755793
Silicon Power,0.5624174986877364,1.2393244478772942,-0.5315477482248987,-1.2701941983401355
Sonance,0.6869232525363778,1.507687720764837,-1.6145821210797848,-0.5800288522214299
Sonaray,0.7767877817589799,1.4050613766783036,-1.4719946052420894,-0.7098545531951928
Sonique,1.0140486470518066,1.4336948361443387,-1.2660804125043654,-1.1816630706917826
Sony,0.8333975047401907,1.4274333261487087,-1.3202189218423506,-0.940611909046547
SoundPEATS,0.403923928456722,1.7697704925790472,-2.1993849137160035,0.025690492680235266
Soundcore,0.8341443214730866,2.2060470827838135,-1.8241482050745939,-1.2160431991823017
Stanley,1.0305800221580768,1.1820301889313285,-0.8892501156529384,-1.3233600954364668
Stridewell,0.6699530354386516,2.11166819049995,-1.5346516491951907,-1.24696957674341
Swiftform,1.02242211330596,1.3860401114786232,-1.4302236742638192,-0.9782385505207625
TCL,0.5778239699963983,1.4082800604218733,-0.5519167571966346,-1.4341872732216316
TOZO,0.7689670694329767,2.2061724345894476,-1.481044373913467,-1.494095130108958
TP-Link,0.22549142869544703,1.9217961871475708,-1.3757675272544745,-0.7715200885885434
Teclast,0.22760222156194132,1.7786815616932792,-1.689233626488357,-0.31705015676686443
Terravolt,0.5301717507611832,1.2596865754920028,-0.9411158231921002,-0.8487425030610849
The North Face,0.14017844657270118,1.1767380592814725,0.45936740053337033,-1.776283906387544
Thermalux,0.27907902000297913,1.5511494406083548,-1.853187661058468,0.02295920044713462
ThermoFlask,0.28814436098174045,2.034527425871744,-2.113454619754114,-0.20921716709936877
Topo Athletic,0.5718967100991783,1.2607470029602172,-0.37061180779927483,-1.4620319052601207
Trailpeak,0.37701931459911986,1.752274928404189,-1.3069872933324884,-0.8223069496708204
Tribit,0.764074308906741,1.9266164759669149,-1.9445845349409767,-0.7461062499326818
Ultimate Ears,0.3720512021156246,1.0888385892388612,0.05949989442386361,-1.5203896857783459
Varia,-0.6931471805599453,2.0794415416798357,-0.6931471805599453,-0.6931471805599453
Vaultdrive,1.0333537559258876,1.4080472053672985,-1.7700066249806472,-0.6713943363125376
Veridian,0.7201683405447987,1.1880016452848068,-0.9118210873811385,-0.9963488984484687
Vistara,0.992960542124429,1.3401889175277564,-1.8901511897194698,-0.4429982699327155
Vitamix,0.057527205965456574,1.8042361553638635,-1.4938011874598836,-0.36796217386944186
Vizio,0.8223557909367791,1.596567323214753,-1.4826429418321307,-0.9362801723194014
Vynex,0.8076820140243441,0.6151170898156284,-1.7228351470157084,0.3000360431757336
Wacaco,0.17408514561934307,2.3892117859956343,-2.0529203046095246,-0.5103766270054546
Wavecrest,0.6736547795762853,1.137429191276489,-1.0316334460029193,-0.7794505248498584
Western Digital,0.364678959694956,1.3752998232845783,-0.5560744955856478,-1.183904287393883
Xiaomi,0.7429640961565482,1.570844064190748,-1.557023474807563,-0.7567846855397384
Yeti,0.7009821970211476,1.4902906276412455,-1.2953100255974785,-0.8959627990649146
Zentria,0.32898546752922475,2.2117167149630066,-1.6169246815260885,-0.9237775009661432
eufy,0.8168333244069075,2.5015786718146664,-2.216069497600116,-1.1023424986214607
iRobot,0.6437563731768225,1.6831926362040281,-1.488738748115269,-0.83821026126558
