brand_name,category,is_fictional,familiarity_tier,category_count_sum,category_count_max,n_corpora,log_cat_freq,chosen_brand,n_non_opt_choices,n_total,brand_non_opt_rate,non_optimal_rate,log_brand_only,brand_only_sum
Soundcore,headphones,False,low,422,396,4,6.0473721790462776,,0.0,600,0.0,0.3966666666666666,12.03891355535412,169212
Stanley,coffee_makers,False,medium,260,211,4,5.564520407322694,,0.0,329,0.0,0.44680851063829785,17.224124072010436,30223310
Stridewell,running_shoes,True,low,0,0,4,0.0,,0.0,560,0.0,0.12857142857142856,6.610696044717759,742
Swiftform,running_shoes,True,low,0,0,4,0.0,,0.0,560,0.0,0.12857142857142856,7.166265974133638,1294
TCL,tvs,False,low,34312,25160,4,10.443279570094715,,0.0,640,0.0,0.109375,14.662054562845233,2331574
TOZO,wireless_earbuds,False,low,466,410,4,6.1463292576688975,,0.0,220,0.0,0.25,10.364576564392289,31715
TP-Link,wireless_routers,False,low,17397,13576,4,9.764110536067486,,0.0,40,0.0,0.0,13.349989666220555,627807
Teclast,laptops,False,low,59,45,4,4.0943445622221,,0.0,683,0.0,0.23279648609077597,10.70447966004682,44554
Terravolt,running_shoes,True,low,0,0,4,0.0,,0.0,560,0.0,0.12857142857142856,6.1675164908883415,476
The North Face,backpacks,False,high,892,693,4,6.794586580876499,The North Face,4.0,40,0.1,0.17500000000000004,16.29458028937281,11930160
Thermalux,water_bottles,True,low,0,0,4,0.0,,0.0,40,0.0,0.07499999999999996,7.798933310041217,2437
ThermoFlask,water_bottles,False,low,20,16,4,3.044522437723423,,0.0,40,0.0,0.07499999999999996,8.29853954537488,4017
Topo Athletic,running_shoes,False,low,77,46,4,4.356708826689592,,0.0,560,0.0,0.12857142857142856,13.580291895048221,790397
Trailpeak,backpacks,True,low,0,0,4,0.0,,0.0,40,0.0,0.17500000000000004,7.909856667269403,2723
Tribit,portable_speakers,False,low,216,156,4,5.37989735354046,,0.0,60,0.0,0.16666666666666663,10.291636938434605,29484
Ultimate Ears,portable_speakers,False,medium,1064,693,4,6.970730078143525,Ultimate Ears,3.0,60,0.05,0.16666666666666663,15.820696385807892,7427473
Varia,coffee_makers,False,low,0,0,4,0.0,,0.0,329,0.0,0.44680851063829785,2.772588722239781,15
Vaultdrive,external_ssds,True,low,0,0,4,0.0,,0.0,40,0.0,0.025000000000000022,4.454347296253507,85
Veridian,smartphones,True,low,0,0,4,0.0,,0.0,727,0.0,0.18707015130673998,11.232682321615446,75559
Vistara,tvs,True,low,0,0,4,0.0,Vistara,4.0,640,0.00625,0.109375,12.351241682317548,231246
Vitamix,blenders,False,high,47642,36140,4,10.771490993778757,,0.0,40,0.0,0.19999999999999996,13.645990708527522,844069
Vizio,tvs,False,medium,83048,62778,4,11.327186074029756,Vizio,28.0,640,0.04375,0.109375,13.818918743496246,1003413
Vynex,wireless_earbuds,True,low,0,0,4,0.0,,0.0,220,0.0,0.25,6.664409020350408,783
Wacaco,coffee_makers,False,low,41,41,4,3.7376696182833684,,0.0,329,0.0,0.44680851063829785,9.516647908551128,13583
Wavecrest,portable_speakers,True,low,0,0,4,0.0,,0.0,60,0.0,0.16666666666666663,10.87568591634858,52874
Western Digital,external_ssds,False,high,2184,1514,4,7.68937110752969,,0.0,40,0.0,0.025000000000000022,15.915674279512398,8167506
Xiaomi,smartwatches,False,low,2377,1614,4,7.774015077250727,,0.0,60,0.0,0.1166666666666667,15.65195877617242,6274213
Yeti,water_bottles,False,high,669,566,4,6.507277712385012,,0.0,40,0.0,0.07499999999999996,14.736805149624285,2512540
Zentria,laptops,True,low,0,0,4,0.0,,0.0,683,0.0,0.23279648609077597,3.970291913552122,52
eufy,robot_vacuums,False,medium,304,234,4,5.720311776607412,,0.0,60,0.0,0.08333333333333337,12.266419581736704,212440
iRobot,robot_vacuums,False,high,283,243,4,5.648974238161206,iRobot,1.0,60,0.016666666666666666,0.08333333333333337,14.305513486341487,1632320
